"id","timestamp","temperature","humidity","light","pm2_5","frc","current_speed","free_flow_speed","current_travel_time","free_flow_travel_time","confidence"
"162","2025-04-03 15:34:10","33","57","154.27","41","FRC2","48","65","591","437","1"
"163","2025-04-03 15:39:11","33","57","152.59","42","FRC2","48","66","591","430","1"
"164","2025-04-03 15:44:12","33","56","151.13","43","FRC2","48","66","591","430","1"
"165","2025-04-03 15:49:14","33","54","150.72","42","FRC2","47","65","604","437","1"
"166","2025-04-03 15:59:16","33","54","153.11","42","FRC2","45","65","631","437","1"
"167","2025-04-03 16:04:18","33","55","147.75","42","FRC2","47","65","604","437","1"
"168","2025-04-03 16:09:19","33","55","141.79","0","FRC2","44","66","645","430","1"
"169","2025-04-03 16:14:20","33","55","134.63","0","FRC2","44","64","645","443","1"
"170","2025-04-03 16:19:22","33","55","137.17","0","FRC2","43","66","660","430","1"
"171","2025-04-03 16:29:23","33","53","133.33","37","FRC2","40","65","710","437","1"
"172","2025-04-03 16:34:25","33","52","128.77","37","FRC2","42","65","676","437","1"
"173","2025-04-03 16:39:26","33","53","126.45","37","FRC2","39","65","728","437","1"
"174","2025-04-03 16:42:15","33","53","123.89","44","FRC2","40","65","710","437","1"
"175","2025-04-03 16:47:21","33","54","1161.1","43","FRC2","34","65","835","437","1"
"176","2025-04-03 16:52:22","34","52","1124.25","42","FRC2","36","65","789","437","1"
"177","2025-04-03 16:57:23","35","49","1086.65","41","FRC2","36","65","789","437","1"
"178","2025-04-03 17:02:25","35","48","1048.72","42","FRC2","35","65","811","437","1"
"179","2025-04-03 17:07:26","35","47","970.76","42","FRC2","36","65","789","437","1"
"180","2025-04-03 17:12:27","35","48","911.24","42","FRC2","35","65","811","437","1"
"181","2025-04-03 17:17:28","35","48","859.24","42","FRC2","33","65","860","437","1"
"182","2025-04-03 17:22:30","35","48","831.04","43","FRC2","32","65","887","437","1"
"183","2025-04-03 17:27:31","35","48","767.84","43","FRC2","34","65","835","437","1"
"184","2025-04-03 17:32:32","35","48","698.84","0","FRC2","32","64","887","443","1"
"185","2025-04-03 17:37:34","35","48","619.67","0","FRC2","31","66","916","430","1"
"186","2025-04-03 17:42:35","35","48","522.7","0","FRC2","29","65","979","437","1"
"187","2025-04-03 17:47:36","35","49","427.84","0","FRC2","30","66","946","430","1"
"188","2025-04-03 17:48:16","35","48","371","41","FRC2","30","66","946","430","1"
"189","2025-04-03 17:53:17","35","49","272.12","40","FRC2","32","66","887","430","1"
"190","2025-04-03 17:58:19","35","48","217.4","41","FRC2","34","65","835","437","1"
"191","2025-04-03 18:03:20","35","48","171.06","41","FRC2","32","65","887","437","1"
"192","2025-04-03 18:08:21","35","47","144.05","42","FRC2","31","65","916","437","1"
"193","2025-04-03 18:38:21","34","51","86.98","48","FRC2","42","65","676","437","1"
"194","2025-04-03 18:43:21","33","52","86.48","48","FRC2","43","65","660","437","1"
"195","2025-04-03 18:48:21","32","54","86.2","48","FRC2","44","65","645","437","1"
"196","2025-04-03 18:53:21","32","56","85.91","48","FRC2","48","66","591","430","1"
"197","2025-04-03 18:58:22","32","57","86.2","47","FRC2","48","65","591","437","1"
"198","2025-04-03 19:03:22","32","60","86.06","47","FRC2","47","65","604","437","1"
"199","2025-04-03 19:08:22","32","61","86.27","47","FRC2","46","64","617","443","1"
"200","2025-04-03 19:18:23","32","64","85.84","48","FRC2","50","65","568","437","1"
"201","2025-04-03 19:40:23","32","64","85.98","37","FRC2","54","65","526","437","1"
"202","2025-04-03 19:45:23","32","65","86.2","37","FRC2","66","66","430","430","1"
